Exercise Log,,Setup (7/28 - 8/3),,,,,,,,Week 1 (8/4 - 8/10),,,,,,,,Week 2,,,,,,,,Week 3,,,,,,,,Week 4,,,,,,,,Week 5,,,,,,,,Week 6,,,,,,,,Week 7,,,,,,,,Week 8,,,,,,,,Week 9,,,,,,,,Week 10,,,,,,,,Week 11,,,,,,,,Week 12,,,,,,,,Week 13,,,,,,,,Week 14,,,,,,,,Week 15,,,,,,,,Week 16,,,,,,,,Week 17,,,,,,,,Week 18,,,,,,,,Week 19,,,,,,,,Week 20,,,,,,,,Week 21,,,,,,,,Week 22,,,,,,,,Week 23,,,,,,
,,"Sets
(Min)","Sets
(Max)","Reps
(Min)","Reps
(Max)","Load
(Start)","Round
to ???",Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level
Legs A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Press,Setup,2,3,8,12,265,5,,Week 1,2,8,265,TRUE,Yes,,,Week 2,2,9,275,TRUE,Yes,,,Week 3,2,10,280,TRUE,Yes,,,Week 4,2,10,285,TRUE,Yes,,,Week 5,2,10,295,TRUE,Yes,,,Week 6,2,11,300,TRUE,Yes,,,Week 7,2,11,305,TRUE,Yes,,,Week 8,2,11,305,TRUE,No,300 (break),,Week 9,2,11,305,TRUE,Yes,,,Week 10,2,11,305,FALSE,,SKIPPED (toe injury),,Week 11,2,11,310,TRUE,,,,Week 12,2,11,310,FALSE,,,,Week 13,2,11,310,FALSE,,,,Week 14,2,11,310,TRUE,,,,Week 15,2,11,310,FALSE,,,,Week 16,2,11,310,FALSE,,,,Week 17,2,8,320,TRUE,,,,Week 18,2,8,320,TRUE,,,,Week 18,2,8,320,TRUE,,,,Week 20,2,8,320,FALSE,,,,Week 21,2,8,320,TRUE,,1 set,,Week 22,2,8,320,FALSE,,,,Week 22,2,8,320,TRUE,,,
Seated Leg Curl,,2,3,8,12,195,5,,,2,8,195,TRUE,Yes,,,,2,8,195,TRUE,Yes,,,,2,9,195,TRUE,Yes,,,,2,10,195,TRUE,Yes,,,,2,10,200,TRUE,Yes,,,,2,10,200,TRUE,Yes,,,,2,10,205,TRUE,Yes,,,,2,10,205,TRUE,Yes,,,,2,10,205,TRUE,Yes,,,,2,10,205,FALSE,,,,,2,10,210,TRUE,,,,,2,10,210,FALSE,,,,,2,10,210,FALSE,,,,,2,10,210,TRUE,,,,,2,10,210,TRUE,,,,,2,10,210,FALSE,,,,,2,10,220,TRUE,,,,,2,10,230,TRUE,,,,,2,10,230,TRUE,,,,,2,10,230,TRUE,,,,,2,10,230,TRUE,,,,,2,10,230,TRUE,,,,,2,10,230,TRUE,,,
Leg Extension,,2,3,10,12,230,5,,,2,10,230,TRUE,Yes,,,,2,10,230,TRUE,Yes,,,,2,10,235,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,TRUE,Yes,,,,2,10,240,FALSE,,,,,2,10,245,TRUE,,,,,2,10,245,FALSE,,,,,2,10,245,FALSE,,,,,2,10,245,TRUE,,,,,2,10,245,TRUE,,,,,2,10,245,FALSE,,,,,2,10,250,TRUE,,,,,2,10,250,TRUE,,,,,2,10,250,TRUE,,,,,2,10,255,TRUE,,,,,2,10,255,TRUE,,,,,2,10,255,TRUE,,,,,2,10,255,TRUE,,,
Lunges,,2,3,15,20,25,5,,,2,15,25,TRUE,Yes,,,,2,15,25,FALSE,No,,,,2,15,25,TRUE,Yes,,,,2,15,25,TRUE,Yes,,,,2,15,25,TRUE,No,,,,2,15,25,FALSE,Yes,,,,2,15,25,TRUE,Yes,,,,2,15,25,FALSE,No,,,,2,15,25,FALSE,Yes,Replaced w/ Cardio,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,TRUE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,FALSE,,,,,2,15,25,TRUE,,,
Calf Raises,,3,3,10,12,120,5,,,3,12,120,TRUE,Yes,,,,3,12,120,TRUE,Yes,,,,3,12,120,TRUE,Yes,,,,3,12,120,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,TRUE,Yes,,,,3,12,130,FALSE,,,,,3,12,130,TRUE,,,,,3,12,130,FALSE,,,,,3,12,130,FALSE,,,,,3,12,130,TRUE,,,,,3,12,130,TRUE,,,,,3,12,130,FALSE,,,,,3,12,130,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,,,3,12,150,TRUE,,,
Dead Bugs,,2,3,10,15,15,5,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,TRUE,Yes,,,,2,10,15,FALSE,,,,,2,10,15,TRUE,,,,,2,10,15,FALSE,,,,,2,10,15,FALSE,,,,,2,10,15,TRUE,,,,,2,10,15,FALSE,,,,,2,10,15,FALSE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,leg raises,,,2,10,15,TRUE,,,,,2,10,15,TRUE,,,
Push A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Flat Bench,Setup,2,3,6,8,55,5,,Week 1,2,6,55,TRUE,Yes,,,Week 2,2,6,60,TRUE,Yes,,,Week 3,2,6,60,TRUE,Yes,,,Week 4,2,6,65,TRUE,Yes,,,Week 5,2,6,65,TRUE,Yes,,,Week 6,2,6,65,TRUE,Yes,,,Week 7,2,6,65,TRUE,Yes,,,Week 8,2,7,65,TRUE,Yes,,,Week 9,2,7,65,TRUE,Yes,,,Week 10,2,7,65,TRUE,,,,Week 11,2,7,65,TRUE,,,,Week 12,2,7,65,TRUE,,,,Week 13,2,7,65,TRUE,,,,Week 14,2,7,65,TRUE,,,,Week 15,2,7,65,TRUE,,,,Week 16,2,7,65,TRUE,,,,Week 17,2,7,65,TRUE,,,,Week 18,2,7,65,TRUE,,,,Week 19,2,7,65,TRUE,,,,Week 20,2,7,70,TRUE,,,,Week 21,2,8,70,TRUE,,,,Week 22,2,8,70,TRUE,,,,Week 22,2,8,70,TRUE,,,
DB Overhead Press,,2,3,6,8,40,5,,,2,8,40,TRUE,Yes,,,,2,9,40,TRUE,Yes,,,,2,9,40,TRUE,Yes,,,,2,8,45,TRUE,Yes,,,,2,8,45,TRUE,Yes,,,,2,10,45,TRUE,Yes,,,,2,10,45,TRUE,Yes,failed 2nd,,,2,10,45,TRUE,Yes,,,,2,10,45,TRUE,Yes,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,45,TRUE,,,,,2,10,55,TRUE,,,,,2,10,55,TRUE,,,,,2,10,55,TRUE,,,,,2,10,55,TRUE,,,
