Date,Workout Name,Exercise Name,Weight,Reps,RPE,Notes
2024-08-24,PPL,Cable Lateral Raise,30.0,8,,Yes
2024-08-24,PPL,Cable Lateral Raise,30.0,8,,
2024-08-24,PPL,Cable Pullover,100.0,8,,Yes
2024-08-24,PPL,Cable Pullover,100.0,8,,
2024-08-24,PPL,Cable Pullover,100.0,6,,Yes
2024-08-24,PPL,Cable Pullover,100.0,6,,
2024-08-24,PPL,Calf Raises,120.0,12,,Yes
2024-08-24,PPL,Calf Raises,120.0,12,,
2024-08-24,PPL,Calf Raises,120.0,12,,
2024-08-24,PPL,Calf Raises,120.0,10,,Yes
2024-08-24,PPL,Calf Raises,120.0,10,,
2024-08-24,PPL,Calf Raises,120.0,10,,
2024-08-24,PPL,Close Grip Pull-up,0,8,,Yes
2024-08-24,PPL,Close Grip Pull-up,0,8,,
2024-08-24,PPL,Close Grip Pull-up,0,8,,
2024-08-24,PPL,DB Flat Bench,55.0,6,,Yes
2024-08-24,PPL,DB Flat Bench,55.0,6,,
2024-08-24,PPL,DB Incline Bench,45.0,8,,Yes
2024-08-24,PPL,DB Incline Bench,45.0,8,,
2024-08-24,PPL,DB Lateral Raise,25.0,10,,Yes
2024-08-24,PPL,DB Lateral Raise,25.0,10,,
2024-08-24,PPL,DB Lateral Raise,25.0,10,,
2024-08-24,PPL,DB Overhead Press,40.0,8,,Yes
2024-08-24,PPL,DB Overhead Press,40.0,8,,
2024-08-24,PPL,DB Overhead Press,40.0,8,,Yes
2024-08-24,PPL,DB Overhead Press,40.0,8,,
2024-08-24,PPL,DB Preacher Curl,25.0,8,,Yes
2024-08-24,PPL,DB Preacher Curl,25.0,8,,
2024-08-24,PPL,DB Preacher Curl,25.0,8,,Yes
2024-08-24,PPL,DB Preacher Curl,25.0,8,,
2024-08-24,PPL,DB RDL,45.0,8,,No
2024-08-24,PPL,DB RDL,45.0,8,,
2024-08-24,PPL,DB Row,55.0,8,,Yes
2024-08-24,PPL,DB Row,55.0,8,,
2024-08-24,PPL,Dead Bugs,15.0,10,,Yes
2024-08-24,PPL,Dead Bugs,15.0,10,,
2024-08-24,PPL,Dead Bugs,15.0,10,,Yes
2024-08-24,PPL,Dead Bugs,15.0,10,,
2024-08-24,PPL,Face Pull,95.0,8,,Yes
2024-08-24,PPL,Face Pull,95.0,8,,
2024-08-24,PPL,Face Pull,80.0,10,,Yes
2024-08-24,PPL,Face Pull,80.0,10,,
2024-08-24,PPL,Incline Cable Fly,55.0,8,,Yes
2024-08-24,PPL,Incline Cable Fly,55.0,8,,
2024-08-24,PPL,Leg Extension,230.0,10,,Yes
2024-08-24,PPL,Leg Extension,230.0,10,,
2024-08-24,PPL,Leg Extension,230.0,10,,Yes
2024-08-24,PPL,Leg Extension,230.0,10,,
2024-08-24,PPL,Leg Press,265.0,8,,Yes
2024-08-24,PPL,Leg Press,265.0,8,,
2024-08-24,PPL,Leg Press,270.0,8,,Yes
2024-08-24,PPL,Leg Press,270.0,8,,
2024-08-24,PPL,Lunges,25.0,15,,Yes
2024-08-24,PPL,Lunges,25.0,15,,
2024-08-24,PPL,Seated Hammer Curl,25.0,8,,Yes
2024-08-24,PPL,Seated Hammer Curl,25.0,8,,
2024-08-24,PPL,Seated Hammer Curl,30.0,7,,Yes
