Exercise Log,,Week 1,,,,,,Week 2,,,,,,Week 3,,,,,,Week 4,,,,,,Week 5,,,,,,Week 6,,,,,,Week 7,,,,,,Week 8,,,,,,Week 9,,,,,,Week 10,,,,,,Week 11,,,,,,Week 12,,,,,,Week 13,,,,,,Week 14,,,,,,Week 15,,,,,,Week 16,,,,,,Week 17,,,,,,Week 18,,,,,,Week 19,,,,,,Week 20,,,,,,Week 21,,,,,,Week 22,,,,,,Week 23,,,,,,Week 24,,,,,,Week 25,,,,,,Week 26,,,,,,Week 28,,,,,,Week 29,,,,,,Week 30,,,,,,Week 31,,,,
,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes
Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flat Bench Press,Week 1,2,8,100,TRUE,DB 60s,Week 2,2,6,120,TRUE,,Week 3,2,8,145,TRUE,Flat Barbell Bench,Week 4,2,6,130,TRUE,Incline Smith,Week 5,2,6,130,TRUE,,Week 6,2,6,130,TRUE,140 incline smith,Week 7,2,6,140,TRUE,Dumbbell,Week 8,2,6,140,TRUE,,Week 9,3,6,160,TRUE,,Week 10,3,5,165,TRUE,,Week 11,3,5,155,TRUE,,Week 12,3,5,155,TRUE,3x6 75lb DBs,Week 13,3,5,155,TRUE,75 lb DBs,Week 14,3,5,155,TRUE,150 (Smith),Week 15,3,7,155,TRUE,Smith (160),Week 16,3,7,155,TRUE,Smith,Week 17,2,7,155,TRUE,DB 75s,Week 18,2,7,155,TRUE,,Week 19,2,7,155,TRUE,,Week 20,2,7,155,TRUE,,Week 21,3,7,160,TRUE,,Week 22,3,7,160,TRUE,,Week 23,3,7,150,TRUE,,Week 24,3,7,160,TRUE,,Week 25,2,6,160,TRUE,,Week 26,2,6,160,TRUE,,Week 28,2,6,160,TRUE,,Week 29,2,5,160,TRUE,,Week 30,2,5,160,TRUE,,Week 31,2,5,160,TRUE,
Lat Pulldown,,2,7,175,TRUE,Wide grip,,2,8,175,TRUE,,,2,8,175,TRUE,Weighted Pull-ups (25lb),,2,8,175,TRUE,Weighted Pull-up,,2,8,175,TRUE,,,2,8,175,TRUE,Neutral Grip,,2,8,175,TRUE,Wide Grip 160,,2,8,175,TRUE,,,2,8,165,TRUE,Neutral Grip,,2,8,165,TRUE,Pull Up + 25lb,,2,7,185,TRUE,,,2,7,185,TRUE,,,2,7,185,TRUE,,,2,7,185,TRUE,Weighted Pull-ups (25lb),,2,7,185,TRUE,Weight pull up (35),,2,7,185,TRUE,,,2,7,185,TRUE,,,2,7,185,TRUE,,,2,7,185,TRUE,,,2,7,185,TRUE,Weighted pull ups (45lb),,2,7,185,TRUE,,,2,7,185,TRUE,,,2,7,185,TRUE,Weighted Pull-ups (35lb),,2,7,185,TRUE,,,2,7,190,TRUE,Weighted Pullup (40),,2,7,190,TRUE,Weighted Pullup (40),,2,7,190,TRUE,,,2,7,190,TRUE,,,2,7,190,TRUE,Weighted pull ups (45),,2,7,190,TRUE,Weighted pull ups (45)
Shoulder Press,,2,8,50,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,9x140 Machine,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,160,TRUE,,,2,8,160,TRUE,,,2,8,170,TRUE,,,2,8,170,TRUE,,,2,8,170,TRUE,Dips,,2,8,170,TRUE,,,2,8,170,TRUE,,,2,8,170,TRUE,,,2,8,170,TRUE,DB 60s,,2,8,170,TRUE,,,2,8,170,TRUE,,,2,8,180,TRUE,,,2,8,180,TRUE,,,2,8,180,FALSE,,,2,8,170,TRUE,,,2,8,180,TRUE,,,2,7,180,TRUE,,,2,8,180,TRUE,,,2,7,185,TRUE,,,2,6,190,TRUE,,,2,6,190,TRUE,,,2,6,190,TRUE,
Row,,2,8,75,TRUE,,,2,8,165,TRUE,RAC,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,185,TRUE,,,2,8,187.5,TRUE,,,2,8,187.5,TRUE,,,2,8,187.5,TRUE,DB 90s,,2,8,187.5,TRUE,,,2,8,187.5,TRUE,,,2,8,187.5,TRUE,,,2,6,205,TRUE,,,2,6,205,TRUE,,,2,6,205,TRUE,,,2,6,205,TRUE,,,2,6,205,TRUE,,,2,8,205,TRUE,,,2,8,205,TRUE,,,2,8,205,TRUE,,,2,8,205,TRUE,,,2,8,205,TRUE,
Tricep Pushdowns,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,,,2,8,110,TRUE,
Preacher Curl,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,7,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,
Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith Squat,Week 1,3,8,110,TRUE,,Week 2,3,8,115,TRUE,,Week 3,3,9,125,TRUE,,Week 4,2,9,135,TRUE,,Week 5,3,9,140,TRUE,,Week 6,3,9,140,TRUE,,Week 7,1,10,280,TRUE,Leg Press,Week 8,2,8,155,TRUE,,Week 9,2,8,160,TRUE,,Week 10,2,8,160,TRUE,150 (morning sesh),Week 11,2,7,160,TRUE,,Week 12,1,8,170,TRUE,,Week 13,2,8,170,FALSE,,Week 14,2,8,170,TRUE,Split Squat,Week 15,2,8,170,TRUE,Split Squat (70),Week 16,2,8,170,TRUE,,Week 17,2,8,170,TRUE,Split Squat (75),Week 18,2,8,170,TRUE,,Week 19,2,8,170,FALSE,,Week 20,2,8,170,TRUE,Leg press (290),Week 21,2,6,170,TRUE,,Week 22,2,7,150,TRUE,,Week 23,2,6,150,TRUE,Still sore!!,Week 24,2,9,150,TRUE,,Week 25,2,9,165,TRUE,,Week 26,2,8,180,TRUE,,Week 28,2,8,180,TRUE,,Week 29,2,8,185,TRUE,,Week 30,2,8,185,FALSE,Injured knee 😭,Week 31,2,8,185,FALSE,
Leg Curl,,2,10,180,TRUE,,,2,10,200,TRUE,,,2,10,200,TRUE,,,2,10,200,TRUE,,,2,10,220,TRUE,,,2,10,220,TRUE,,,3,8,115,TRUE,Single Leg,,2,10,220,TRUE,,,2,9,240,TRUE,,,2,9,240,TRUE,,,2,8,240,TRUE,,,1,8,240,TRUE,,,3,8,245,TRUE,,,3,8,245,FALSE,,,2,8,245,TRUE,Single Leg (90),,2,8,240,TRUE,,,2,8,240,TRUE,Single Leg (105),,2,8,240,TRUE,,,2,8,240,FALSE,,,2,8,240,TRUE,300 (office),,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,9,240,TRUE,,,2,8,250,TRUE,,,2,8,250,TRUE,,,2,9,250,TRUE,,,2,9,250,TRUE,,,2,9,250,FALSE,
